"","","","","","","","","","","",""
"TABLE 1","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"60","Monmouth
Wire & Com-
puter","Tinton Falls,
NJ","First and
Last","Printer
NJ613527","R2","No","Yes Recy-
cler","No","No","Hong Kong, New
Territories","1. Monmouth Wire & Computer
2. Hong Kong, Port of Hong Kong
3. Hong Kong, New Territories 22.456461,
114.02057
4. Hong Kong, New Territories, Unverified location"
"61","Mr. E-Waste","Hudson, NY","First","Printer
NY615597","None","No","Yes
E-waste
collection
site","No","No","Hong Kong, New
Territories","1. Mr. E-Waste
2. ecoTech Management
3. Unverified location, Willingboro, NJ,.
4. Hong Kong, New Territories 22.447177,
113.965548"
"62","Nevada State
Recycling","Las Vegas, NV","First","LCD
NV353413","None","No","N/A No
state pro-
gram","No","Yes","Hong Kong, New
Territories","1. Nevada State Recycling
2. TW Recycling
3. Advance Trading Corp
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories 22.423244,
114.019274"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 13","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"63","Newtech
Recycling Inc","Somerset, NJ","Firstand
Last","LCD
NJ616264","R2","No","Yes Recy-
cler","No","Yes","Hong Kong, New
Territories","1. Newtech Recycling Inc.
2. Hong Kong, Port of Hong Kong
3. Hong Kong, New Territories 22.514392,
114.15673
4. Hong Kong, New Territories 22.528042,
114.141363
5. Hong Kong - New Territories 22.528586,
114.16553"
"64","PADNOS","Wyoming, MI
42.880538,
-85.677538","Interme-
diate","LCD
MI163531","None","Yes","Yes Reg-
istered
recycler","No","No","Hong Kong, New
Territories","1. Goodwill North Cadillac, MI
2. Goodwill Traverse, MI
3. PADNOS
4. Schupan and Sons Inc
5. Unverified location, Morris, IL
6. Hong Kong, New Territories"
"65","PCRR","Chicago, IL","First","CRT
IL166286","R2","No","No","No","No","Mexico, Matam-
oros","1. PCRR
2. Intercon Solutions
3. Unverified location, Brownsville, TX
4. MexTek (now out of business) Company, Mexico
Matamoros 25.881682, -97.544914"
"66","Raw Material
Recovery
Corporation","Gardner, MA
42.564766,
-71.998457","Interme-
diate","Printer
MA356275","None","No","N/A No
state pro-
gram","No","No","Hong Kong, New
Territories (but
returned to Port
of Hong Kong)","1. Miller Recycling
2. Raw Material Recovery Corporation
3. Unverified Location, Upstate NY
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories 22.456996,
114.021468
6. Hong Kong, New Territories22.430843,
114.007242
7. Hong Kong, Port of Hong Kong"
"67","Recology Ore-
gon Material
Recovery","Portland, OR","First","LCD
OR349759","None","No","Yes Reg-
istered
collection
site","No","No","Hong Kong, New
Territories","1. Recology Oregon Material Recovery
2. Total Reclaim, Portland, OR
3. Trailer Yard, Portland, OR, leased by Total
Reclaim 45.562104,-122.538029
4. Trailer Yard, Seattle, WA leased by Total Reclaim
47.578592, -122.356476
5. Unverified location, South Seattle, WA, (pre-
sumed Total Reclaim)
6. Hong Kong, Port of Hong Kong
7. Hong Kong, New Territories, unverified location
8. Hong Kong, New Territories 22.458612,
113.982363"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 14","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"68","Remitek Inc","Fremont, CA
37.49396,
-121.93065","First","LCD
CA542981","None","No","No","No","Yes","Hong Kong, New
Territories","1. Remitek Inc
2. Blue Star Electronics
3. Unverified location, Fremont, CA
4. San Francisco/Oakland port area
5. Hong Kong, Port of Hong Kong
6. Hong Kong, New Territories 22.429514,
114.016853"
"69","RMG Enter-
prise Incorpo-
rated","Londonderry,
NH","First","LCD
NH353504","R2","No","N/A No
state pro-
gram","No","No","Hong Kong, New
Territories","1. RMG Enterprise Incorporated
2. Unverified location, Wilmington, MA
3. Hong Kong, Port of Hong Kong
4. Hong Kong, New Territories 22.458503,
113.982363"
"70","RS David
Recycling","Clackamas,
OR","First","CRT
OR356457","None","Yes","Yes Reg-
istered
collection
site","No","No","Mexico, Mexicali","1. RS David Recycling
2. Total Reclaim, Portland, OR
3. Mexico, Mexicali, TDM Facility, 32.567901,
-115.414334"
"71","SAMR Inc","Lakewood, NJ","First and
Last","LCD
NJ613543","None
(Previously
R2)","No","No","No","No","Hong Kong, New
Territories","1. SAMR Inc
2. Unverified location, Middletown, NJ
3. Hong Kong, Port of Hong Kong
4. Hong Kong, New Territories 22.522354,
114.142596"
"72","Sarah's
Trading","Doraville, GA","First and
Last","LCD
GA161576","None","No","N/A No
state pro-
gram","N/A No website","Yes","Hong Kong, New
Territories","1. Sarah's Trading
2. Unverified location, Charleston, SC port area
3. Hong Kong, New Territories 22.526614,
114.136601
4. Hong Kong, New Territories 22.511108,
114.155149"
"73","Schupan and
Sons Inc","Kalamazoo,
MI","First","LCD
MI156857","R2","Yes","Yes Reg-
istered
recycler","Yes","No","China, Guiyu area","1. Schupan and Sons Inc.
2. Unverified location, Kalamazoo, MI
3. Unverified Location, Cleveland, OH
4. China, Guiyu area"
"74","Schupan and
Sons Inc","Kalamazoo,
MI
42.272238,
-85.534863","Interme-
diate","LCD
MI163531","R2","Yes","Yes - Reg-
istered
recycler","Yes","No","Hong Kong, New
Territories","1. Goodwill North Cadillac, MI
2. Goodwill Traverse, MI
3. PADNOS
4. Schupan and Sons Inc.
5. Unverified location, Morris, IL
6. Hong Kong, New Territories"
"75","SEER (Secure
Environmen-
tal Electronics
Recycling)","Tampa, FL","First","LCD
FL353546","R2","No","N/A No
state pro-
gram","No","No","Returned to Port
of Hong Kong
(via Hong Kong
New Territories)","1. SEER
2. Unverified location, St. Petersburg, FL
3. Unverified location, Port of Miami, FLarea
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories 22.517703,
114.128421
6. Hong Kong, Return to Port of Hong Kong"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 15","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"76","Sims
Recycling
Solutions
(Had
contracted
another
recycler)","Mahwah, NY","First","LCD
NY615795","R2","Yes","Yes
E-waste
collection
site","No","No","Hong Kong, New
Territories","1. Town of Mahwah Recycling Center (SIMS Recy-
cling Solutions Drop Off Center), Mahwah, NJ
2. Unverified location, Newark, NJ
3. Hong Kong, New Territories 22.531212,
114.20025"
"77","T Electronics
dba Silicon
Valley Recy-
cling","Santa Clara,
CA
37.381723,
-121.947667","Last","Printer
CA540910","None","No","No","No","No","China, Guang-
zhou","1. ITAD Solutions
2. T Electronics dba Silicon Valley Recycling
3. Unverified location, near Port of Oakland, CA
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories 22.503568,
114.167515
6. Hong Kong, New Territories 22.43878,
114.01718
7. Hong Kong, New Territories, Unconfirmed
location
8. Hong Kong, Port of Hong Kong
9. Vietnam, Hai Phong Port
10. Vietnam, Border crossing area to China,
Unverified location
11. China, Guangzhou, Guangdong, Unverified
location"
"78","TBS Indus-
tries","Philadelphia,
PA
40.021471,
-75.065575","Last","Printer
MA352894","R2","No","N/A No
state pro-
gram","No","No","Hong Kong, New
Territories","1. ACT Secured Recycling
2. TBS Industries
3. Hong Kong, Port of Hong Kong
4. Hong Kong, New Territories 22.453303,
113.981538"
"79","Techrecyclers
LLC","Elizabeth, NJ
40.665948,
-74.202343","Interme-
diate","Printer
MA353728","R2","No","N/A No
state pro-
gram","No","Yes","China, Qingyuan","1. M&K Recovery Group
2. Unverified location, Riverside, RI
3. Techrecyclers LLC
4. Unverified location, Delran, NJ5. Port Newark
area
6. Hong Kong - New Territories 22.461697,
113.988408
7. China - Shipping yard in Zhaoqing, Guangdong
23.102667, 112.802711
8. China Outdoor processing yard in Qingyuan,
Guangdong 23.646378, 113.015697"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 16","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"80","Total
Reclaim*","Portland, OR
45.570506,
-122.601684","Last","CRT
OR356457","e-Stewards*
(Subse-
quently
removed from
e-Stewards
program after
investigation)
Discussed in
Press Release
found here","Yes","Yes - Reg-
istered
collection
site","Yes","No","Mexico, Mexicali","1. RS David Recycling
2. Total Reclaim, Portland, OR
3. Mexico, Mexicali, TDM Facility, 32.567901,
-115.414334"
"81","Total
Reclaim*","Portland, OR
45.572143,
-122.601445","Last","LCD
OR349759","e-Stewards*
(Subse-
quently
removed from
e-Stewards
program after
investigation)
Discussed in
Press Release
found here","Yes","Yes Reg-
istered
collection
site","Yes","No","Hong Kong, New
Territories","1. Recology Oregon Material Recovery
2. Total Reclaim, Portland, OR
3. Trailer Yard, Portland, OR, leased by Total
Reclaim 45.562104,-122.538029
4. Trailer Yard, Seattle, WA leased by Total Reclaim
47.578592, -122.356476
5. Unverified location, South Seattle, WA, (pre-
sumed Total Reclaim)
6. Hong Kong, Port of Hong Kong
7. Hong Kong, New Territories, unverified location
8. Hong Kong, New Territories 22.458612,
113.982363"
"82","Total
Reclaim*","Seattle, WA
47.584434,
-122.325529","Last","LCD
OR356028","e-Stewards*(-
Subsequently
removed from
e-Stewards
program after
investigation)
Discussed in
Press Release
found here","Yes","Yes Reg-
istered
collector,
transporter,
and pro-
cessor","Yes","No","Hong Kong, New
Territories","1. Ecobinary, LLC
2. Unverified location, Portland, OR
3. Trailer Yard leased by Total Reclaim, Portland,
OR 45.56183, ,-122.538103
4. Trailer Yard leased by Total Reclaim, Seattle,
47.577749, -122.355865
5. Total Reclaim, Seattle
6. Hong Kong, Port of Hong Kong
7. Hong Kong, New Territories 22.450503,
113.966656
8. Hong Kong, New Territories 22.485588,
114.074766"
"83","Tri-Valley
Electronic
Waste Recy-
cling","Stockton, CA","First","LCD
CA551321","None","No","Yes Active
collector","Yes","No","Kenya","1. Tri-Valley Electronic Waste Recycling
2. Self-storage unit in Oakland, CA 37.74847,
-122.19603
3. Kenya - Port Mombasa
4. Warehouse in Kenya -1.317222, 36.855495"
"84","TW Recycling","Los Angeles,
CA
34.06082,
-118.178885","Interme-
diate","LCD
NV353413","None","No","No
Inactive
collector","No","No","Hong Kong, New
Territories","1. Nevada State Recycling
2. TW Recycling
3. Advance Trading Corp
4. Hong Kong, Port of Hong Kong
5. Hong Kong, New Territories 22.423244,
114.019274"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"TABLE 17","","","","","","","","","","",""
"","","","","","","","","","","",""
"#","Company
Name","Location","Position
on Chain of
Export","Device
Exported,
Device Number","Certi at
time of
possession","ISRI
Member","State
Program1","Misrepresentation
Concern2","EPA Mentions3","Last location","Chain of Export Summary"
"85","UNITEC
Recycling
Corporation","West Chicago,
IL","Interme-
diate","LCD
IL163424","None","No","Yes-State
EPA list","No","No","United Arab Emir-
ates, Dubai","1. Chicago Surplus Computer
2. UNITEC Recycling Corporation
3. Chicago Surplus Computer
4. Unverified field or warehouse, Lombard, IL
41.913026, -88.023229
5. UAE, Dubai 25.29782, 55.418836"
"86","Urban
Renewal","Kerney, NY","First","LCD
NJ615555","None
(Previously
R2)","No","Yes Small
Quantity
Universal
Waste
Handler","No","No","Dominican
Republic,
Santiago de los
Caballeros","1. Urban Renewal
2. East Orange, NJ area 40.768829, -74.183524
3. Port Newark, NJ
4. Dominican Republic, Port of Rio Haina
5. Dominican Republic, Unverified location, Santi-
ago De Los Caballeros area."
"87","Valley City
Electronic
Recycling","Kentwood, MI","First","Printer
MI157079","R2","No","Yes Reg-
istered
recycler","Yes
(R2 PDF saying they
comply with all inter-
national laws.)","No","China, Shangqiu","1. Valley City Electronic Recycling
2. Unverified location, San Bernadino, CA.
3. China, Tianjin Port
4. China, Tianjin Shi warehouse 39.284632,
117.789698
5. China, Shangqiu, Henan 34.433973,
115.410953"
"88","Windfield
Alloy*","Lawrence, NH","First","CRT
NH356259","e-Stewards*","No","N/A No
state pro-
gram","No","Yes","China, Foshan","1. Windfield Alloy
2. Unverified location, Dover, NH
3. Unverified location, Northwood, NH
4. Unverified location, Worcester, MA
5. Hong Kong, Port of Hong Kong
6. China, Unverified location, Foshan, Guangdong
area
7. China - Another unverified location (Foshan,
Guangdong)"
"89","WTB Elec-
tronics Recy-
cling Import
& Export","Santa Ana, CA
33.747121,
-117.897295","Last","LCD
CA549390","None","No","Yes Active
collector","No","No","Cambodia,
Phnom Penh area","1. Recycling Event at Eliot Middle School, Alta-
dena, CA
2. Attan Recycling Corp
3. Advance Trading Corp
4. WTB Electronics Recycling Import & Export
5. Port of Long Beach, CA
6. Cambodia - Unverified location, Krong Preah
Sihnaouk port area
7. Cambodia, Unverified location, Phnom Penh
area"
"90","Yesterday's
Business
Computers","Hillsborough,
NJ","First and
Last","Printer
NJ615662","None
(Previously
R2)","No","No","No","No","Hong Kong, New
Territories","1. Yesterday's Business Computers
2. Port Newark
3. Hong Kong, Port of Hong Kong
4. Hong Kong, New Territories 22.4531,
113.987466"
